PHA_NAME,MR_INSPECTION_DATE,MR_INSPECTION_COST,SECOND_MR_INSPECTION_DATE,SECOND_MR_INSPECTION_COST,CHANGE_IN_COST,PERCENT_CHANGE_IN_COST
Corpus Christi Housing Authority,2014-12-17,38669,2014-12-16,10185.0,28484.0,279.67
Crestview Housing Authority,2014-05-05,12825,2013-05-14,10153.0,2672.0,26.32
Cuyahoga Metropolitan Housing Au,2014-05-19,14048,2014-05-07,13430.0,618.0,4.6
D.C  Housing Authority,2015-01-28,16733,2015-01-12,13926.0,2807.0,20.16
DAYTON METROPOLITAN HOUSING AUTH,2014-12-01,39748,2014-10-03,27126.0,12622.0,46.53
Danville Redevelopment & Housing,2014-03-24,39337,2014-02-06,18241.0,21096.0,115.65
Decatur Housing Authority,2014-06-16,33234,2014-06-12,23278.0,9956.0,42.77
Del Rio Housing Authority,2014-10-24,24455,2013-07-24,19860.0,4595.0,23.14
Delaware State Housing Authority,2014-10-21,37696,2014-10-20,33602.0,4094.0,12.18
Des Moines Municipal Housing Age,2014-07-17,39273,2014-07-11,14100.0,25173.0,178.53
Detroit Housing Commission,2015-01-22,17033,2015-01-14,12486.0,4547.0,36.42
Dover Housing Authority,2015-01-21,10979,2014-09-02,10751.0,228.0,2.12
Dunkirk Housing Authority,2013-08-28,31228,2013-08-26,13561.0,17667.0,130.28
ERIE METROPOLITAN HOUSING AUTHOR,2013-07-30,36715,2013-07-29,26114.0,10601.0,40.6
EUFAULA HOUSING AUTHORITY,2015-01-20,19623,2013-05-29,14275.0,5348.0,37.46
Eagle Pass Housing Authority,2014-10-20,24695,2014-04-02,19788.0,4907.0,24.8
East Orange Housing Authority,2014-03-26,12240,2014-03-25,10233.0,2007.0,19.61
Eastern Carolina Regional Housin,2015-01-22,28730,2015-01-22,25588.0,3142.0,12.28
Eastern Regional Housing Authori,2013-11-22,34905,2013-11-18,25738.0,9167.0,35.62
Easton Housing Authority,2014-09-03,24035,2013-03-13,12720.0,11315.0,88.95
Edinburg Housing Authority,2014-06-03,22314,2014-06-03,13931.0,8383.0,60.18
Edison Housing Authority,2013-07-30,37351,2013-07-24,10103.0,27248.0,269.7
Elizabeth Housing Authority,2014-09-19,35542,2014-08-22,17693.0,17849.0,100.88
FAYETTE COUNTY HOUSING AUTHORITY,2014-10-09,21804,2014-10-07,15555.0,6249.0,40.17
Fairfax County Redevelopment & H,2015-02-02,25722,2014-01-15,13585.0,12137.0,89.34
Fall River Housing Authority,2014-10-30,35573,2014-10-28,18317.0,17256.0,94.21
Falls City Housing Authority,2014-04-18,31980,2013-07-31,20628.0,11352.0,55.03
Fargo Housing  and Redevelopment,2014-03-25,36877,2014-03-24,15826.0,21051.0,133.02
Fayetteville Metropolitan Housin,2015-01-29,36300,2015-01-28,14237.0,22063.0,154.97
Flint Housing Commission,2014-08-08,25029,2014-08-04,15588.0,9441.0,60.57
Frederick Housing Authority,2014-07-08,17707,2014-07-07,14094.0,3613.0,25.64
Fremont Housing Authority,2014-06-20,25557,2013-09-17,19851.0,5706.0,28.74
Fulton County Housing Authority,2014-10-06,20488,2014-10-02,11502.0,8986.0,78.13
GREENE METROPOLITAN HOUSING AUTH,2014-07-01,38583,2014-06-30,24365.0,14218.0,58.35
Gainesville Housing Authority,2014-07-09,29976,2014-07-08,13878.0,16098.0,116.0
Garfield Housing Authority,2014-05-07,29670,2014-05-06,23383.0,6287.0,26.89
Gastonia Housing Authority,2015-01-15,30348,2014-02-26,27114.0,3234.0,11.93
Gordon Housing Authority,2014-05-15,21012,2013-05-23,19226.0,1786.0,9.29
Granite City Housing Authority,2015-01-27,33935,2015-01-26,32190.0,1745.0,5.42
Great Falls Housing Authority,2014-06-24,22969,2014-05-08,11473.0,11496.0,100.2
Greater Gadsden,2014-07-30,22890,2014-07-28,14602.0,8288.0,56.76
Grtr Metro. Area Hsng Auth of Ro,2014-10-06,23025,2014-07-09,20398.0,2627.0,12.88
Guam Housing & Urban Renewal Aut,2014-02-25,24702,2014-02-23,14499.0,10203.0,70.37
HA BESSEMER,2014-10-08,36868,2014-10-06,30343.0,6525.0,21.5
HA City of Everett,2014-06-11,36090,2014-05-13,12424.0,23666.0,190.49
HA City of Pasco and Franklin Co,2014-04-16,36386,2014-04-15,34912.0,1474.0,4.22
HA City of Spokane,2014-05-30,34554,2014-05-29,20825.0,13729.0,65.93
HA NORTHPORT,2014-10-01,14302,2014-05-07,13794.0,508.0,3.68
HA OF  KING COUNTY,2015-01-08,17941,2014-03-28,10740.0,7201.0,67.05
HA OPELIKA,2014-10-06,26375,2014-05-14,15070.0,11305.0,75.02
HA Of Grays Harbor County,2014-06-09,15681,2014-06-05,15039.0,642.0,4.27
HA Of Pierce County,2014-06-17,31576,2014-03-31,15088.0,16488.0,109.28
HA TROY,2014-08-05,39158,2014-05-06,14428.0,24730.0,171.4
HA TUSCALOOSA,2014-06-19,27178,2014-05-07,11383.0,15795.0,138.76
HOUSING AUTH CO OF LAWRENCE,2014-05-06,25531,2014-05-06,24276.0,1255.0,5.17
HOUSING AUTHORITY OF FLORENCE,2015-01-30,20979,2015-01-27,14513.0,6466.0,44.55
HOUSING AUTHORITY OF GEORGETOWN,2014-03-25,35721,2014-03-24,31488.0,4233.0,13.44
HOUSING AUTHORITY OF LAKE CITY,2014-10-01,37048,2014-10-01,28290.0,8758.0,30.96
HOUSING AUTHORITY OF N CHARLESTO,2014-10-09,21062,2013-11-25,14988.0,6074.0,40.53
HOUSING AUTHORITY OF SHREVEPORT,2014-05-09,11242,2014-05-02,10585.0,657.0,6.21
HOUSING AUTHORITY OF SPARTANBURG,2015-01-29,32427,2015-01-15,21574.0,10853.0,50.31
HOUSING AUTHORITY OF THE CITY OF,2015-01-09,28193,2015-01-05,14384.0,13809.0,96.0
HOUSING AUTHORITY OF THE COUNTY,2014-09-25,14505,2014-09-16,11151.0,3354.0,30.08
HOUSING AUTHORITY OF THE CTIY OF,2014-05-29,11166,2014-04-30,10995.0,171.0,1.56
HOUSING AUTHORITY OF UNION,2014-04-02,38278,2014-04-01,27680.0,10598.0,38.29
HOUSING OPPRTY COM OF MONTGOMERY,2014-10-29,26790,2014-10-24,19735.0,7055.0,35.75
"HRA of DULUTH, MINNESOTA",2014-12-03,24132,2014-12-02,14040.0,10092.0,71.88
"HRA of ST. CLOUD, MINNESOTA",2014-03-04,22449,2013-04-29,13000.0,9449.0,72.68
"HRA of VIRGINIA, MINNESOTA",2014-06-23,25077,2014-06-23,22412.0,2665.0,11.89
Hagerstown Housing Authority,2015-01-13,19711,2014-12-04,10721.0,8990.0,83.85
Haleyville Housing Authority,2014-07-01,32067,2014-05-30,19510.0,12557.0,64.36
Hampton Redevelopment & Housing,2014-04-15,26740,2013-05-14,19252.0,7488.0,38.89
Harlingen Housing Authority,2014-06-06,25025,2014-06-05,20327.0,4698.0,23.11
Harrietstown Housing Authority,2014-05-13,30100,2014-05-13,29310.0,790.0,2.7
Harrisburg Housing Authority,2015-01-28,37446,2014-04-28,10315.0,27131.0,263.02
Hawaii Public Housing Authority,2014-12-22,16210,2014-12-15,13526.0,2684.0,19.84
Helena Housing Authority,2014-08-21,11714,2014-04-21,11624.0,90.0,0.77
Hoboken Housing Authority,2015-01-21,26320,2015-01-15,17645.0,8675.0,49.16
Hocking Metropolitan Housing Aut,2014-05-06,36146,2014-05-06,16601.0,19545.0,117.73
Holyoke Housing Authority,2014-04-11,23393,2013-04-01,16282.0,7111.0,43.67
Hopewell Redevelopment & Housing,2014-06-26,23140,2013-07-12,21722.0,1418.0,6.53
Hot Springs Housing Authority,2014-09-22,19103,2013-08-12,16026.0,3077.0,19.2
Housing & Redevelopment Authorit,2014-12-17,32371,2014-12-16,28159.0,4212.0,14.96
Housing Authority & Comm Svcs of,2015-01-09,17414,2013-10-29,14059.0,3355.0,23.86
Housing Authority City of Jersey,2014-10-23,33923,2014-10-21,22369.0,11554.0,51.65
Housing Authority City of Orange,2014-12-30,39479,2014-11-24,31010.0,8469.0,27.31
Housing Authority Cook County,2014-11-10,25367,2014-09-02,13814.0,11553.0,83.63
Housing Authority County of Dela,2014-07-01,14924,2014-05-22,10006.0,4918.0,49.15
Housing Authority Of Baltimore C,2015-01-27,37590,2014-12-17,31545.0,6045.0,19.16
Housing Authority Of Crisfield,2014-05-01,39888,2014-04-29,24472.0,15416.0,62.99
Housing Authority Of The City Of,2014-07-02,18074,2014-06-24,15700.0,2374.0,15.12
Housing Authority Of The County,2015-01-13,38227,2014-07-09,31658.0,6569.0,20.75
Housing Authority Providence,2014-08-14,16609,2013-05-29,15032.0,1577.0,10.49
Housing Authority and Urban Rede,2014-10-14,19233,2014-05-30,13077.0,6156.0,47.08
Housing Authority of Belton,2013-10-21,24470,2013-09-10,11277.0,13193.0,116.99
Housing Authority of Butte,2014-10-02,38455,2013-08-27,34341.0,4114.0,11.98
Housing Authority of City of Day,2014-09-11,29677,2014-09-09,23847.0,5830.0,24.45
Housing Authority of City of Ope,2014-07-28,20156,2013-08-27,16407.0,3749.0,22.85
Housing Authority of Clackamas C,2014-10-09,25059,2014-10-06,22029.0,3030.0,13.75
Housing Authority of Comanche,2014-06-09,15592,2013-07-10,10150.0,5442.0,53.62
Housing Authority of Covington,2014-08-19,39068,2014-08-18,36293.0,2775.0,7.65
Housing Authority of Danville,2014-05-21,22900,2013-06-11,18858.0,4042.0,21.43
Housing Authority of East Baton,2015-01-14,25727,2015-01-13,19370.0,6357.0,32.82
Housing Authority of Fulton Coun,2015-01-07,22308,2014-11-24,15402.0,6906.0,44.84
Housing Authority of Greene Coun,2015-01-21,19747,2014-03-27,13530.0,6217.0,45.95
Housing Authority of Hopkinsvill,2014-08-13,32702,2014-08-11,19302.0,13400.0,69.42
Housing Authority of Joliet,2013-08-22,38887,2013-08-19,12982.0,25905.0,199.55
Housing Authority of Kansas City,2014-05-08,26518,2014-05-06,23802.0,2716.0,11.41
Housing Authority of Lebanon,2014-05-12,33702,2014-05-09,11152.0,22550.0,202.21
Housing Authority of Lexington,2014-10-17,13345,2014-08-05,12496.0,849.0,6.79
Housing Authority of Lubbock,2015-01-05,37818,2014-05-09,23330.0,14488.0,62.1
Housing Authority of Maricopa Co,2014-09-05,29643,2014-09-04,12847.0,16796.0,130.74
Housing Authority of Middlesboro,2014-07-23,21943,2014-07-22,20241.0,1702.0,8.41
Housing Authority of Monroe,2014-08-29,35309,2014-08-28,28825.0,6484.0,22.49
Housing Authority of Mount Verno,2015-01-27,22708,2014-06-10,18509.0,4199.0,22.69
Housing Authority of New Iberia,2014-08-01,12820,2013-05-28,11316.0,1504.0,13.29
Housing Authority of New Orleans,2014-12-22,13488,2014-04-07,11229.0,2259.0,20.12
Housing Authority of Newport,2014-07-24,35506,2014-07-24,28856.0,6650.0,23.05
Housing Authority of Owensboro,2014-09-17,21055,2014-09-15,20365.0,690.0,3.39
Housing Authority of Port Arthur,2014-11-24,38804,2014-11-24,20423.0,18381.0,90.0
Housing Authority of Portland,2015-01-05,29764,2014-06-18,19116.0,10648.0,55.7
Housing Authority of Prince Geor,2014-11-10,31193,2014-10-27,16760.0,14433.0,86.12
Housing Authority of Rotan,2014-04-29,39619,2013-05-07,34513.0,5106.0,14.79
Housing Authority of Salt Lake C,2014-04-09,32202,2014-04-08,13583.0,18619.0,137.08
Housing Authority of Savannah,2014-07-11,36193,2014-07-01,27021.0,9172.0,33.94
Housing Authority of St. Charles,2014-12-29,29640,2013-09-18,17381.0,12259.0,70.53
Housing Authority of St. Louis C,2014-04-17,25781,2013-05-30,12717.0,13064.0,102.73
Housing Authority of Stanton,2014-06-17,34994,2014-05-07,11879.0,23115.0,194.59
Housing Authority of Temple,2014-12-03,29726,2014-03-04,10293.0,19433.0,188.8
Housing Authority of Westwego,2014-10-30,39443,2014-10-29,22142.0,17301.0,78.14
Housing Authority of the Birming,2014-11-18,27408,2014-10-29,15706.0,11702.0,74.51
Housing Authority of the CIty of,2014-05-13,33578,2014-05-12,18537.0,15041.0,81.14
Housing Authority of the City &,2015-01-21,15861,2015-01-20,14616.0,1245.0,8.52
Housing Authority of the City of,2015-02-02,19472,2015-01-29,19157.0,315.0,1.64
Housing Authority of the County,2015-01-29,11355,2014-09-15,10075.0,1280.0,12.7
Housing Authority of the Town of,2015-01-29,15160,2015-01-09,11812.0,3348.0,28.34
Housing Authority of the Village,2014-08-27,37369,2014-08-26,21864.0,15505.0,70.92
Housing Commisson Of Anne Arunde,2014-10-15,17467,2014-10-01,16737.0,730.0,4.36
Housing and Community Developmen,2014-10-01,24955,2013-08-07,19739.0,5216.0,26.42
Houston Housing Authority,2014-05-08,27689,2014-05-05,16894.0,10795.0,63.9
Hudson Housing Authority,2014-12-05,14780,2013-07-23,10185.0,4595.0,45.12
Imperial Valley Housing Authorit,2014-10-09,15038,2014-09-17,11443.0,3595.0,31.42
Indianapolis Housing Agency,2014-05-07,39956,2014-05-07,37828.0,2128.0,5.63
Inkster Housing Commission,2014-05-07,32460,2014-05-06,21584.0,10876.0,50.39
Iron River Housing Commission,2014-10-06,38955,2014-10-06,35163.0,3792.0,10.78
Ironton Metropolitan Housing Aut,2014-03-26,31822,2014-03-25,16709.0,15113.0,90.45
Irvington Housing Authority,2014-06-23,38981,2014-06-16,11495.0,27486.0,239.11
Ithaca Housing Authority,2014-12-29,36958,2013-11-18,10335.0,26623.0,257.6
Jackson Housing Authority,2015-01-20,31454,2015-01-14,20147.0,11307.0,56.12
Jackson Housing Commission,2014-07-02,18743,2013-07-25,14174.0,4569.0,32.24
Jacksonville Housing Authority,2014-11-26,34670,2014-11-25,19663.0,15007.0,76.32
Jamestown Housing Authority,2014-08-29,27278,2014-03-13,24673.0,2605.0,10.56
Jefferson Metropolitan Housing A,2014-05-21,29603,2014-05-20,25262.0,4341.0,17.18
Johnson City Housing Authority,2015-01-07,30847,2015-01-05,20882.0,9965.0,47.72
Kankakee County Housing Authorit,2014-08-28,35171,2013-08-06,21705.0,13466.0,62.04
"Kansas City, KS Housing Authorit",2014-06-19,25657,2014-06-17,17273.0,8384.0,48.54
Kingsport Housing and Redevelopm,2015-01-13,28507,2015-01-09,17169.0,11338.0,66.04
Knox County Housing Authority,2014-10-06,19765,2013-07-09,11175.0,8590.0,76.87
Knoxville's Community Developmen,2014-12-17,14388,2014-11-12,11648.0,2740.0,23.52
Kokomo Housing Authority,2014-04-16,20524,2014-04-14,20010.0,514.0,2.57
LaFollette Housing Authority,2015-01-29,31417,2015-01-27,20326.0,11091.0,54.57
Lansing Housing Commission,2014-10-16,18564,2014-10-06,12590.0,5974.0,47.45
Lawrence Housing Authority,2014-06-11,22904,2013-07-19,21092.0,1812.0,8.59
Lebanon Housing Authority,2014-11-04,18209,2014-04-28,12585.0,5624.0,44.69
Lexington Housing Authority,2014-12-04,25278,2014-12-03,22478.0,2800.0,12.46
Lincoln Housing Authority,2015-01-23,26329,2014-05-20,18059.0,8270.0,45.79
Livingston County Housing Author,2015-01-08,27786,2015-01-06,12197.0,15589.0,127.81
Long Branch Housing Authority,2014-08-04,16379,2014-07-31,12911.0,3468.0,26.86
Lowell Housing Authority,2015-02-02,26799,2015-01-29,23340.0,3459.0,14.82
Lucas Metropolitan Housing Autho,2015-01-22,37877,2015-01-20,32988.0,4889.0,14.82
Lynchburg Redevelopment & Housin,2014-04-04,28062,2013-06-27,27529.0,533.0,1.94
Lynn Housing Authority,2014-06-16,35306,2014-04-17,14765.0,20541.0,139.12
Lyons Housing Authority,2014-04-29,25161,2013-06-03,18357.0,6804.0,37.06
MIAMI DADE PUBLIC HOUSING AND CO,2015-01-26,39595,2015-01-22,32788.0,6807.0,20.76
MOBILE HOUSING BOARD,2014-05-15,37313,2014-05-09,19581.0,17732.0,90.56
Malden Housing Authority,2014-12-15,33336,2014-11-17,24551.0,8785.0,35.78
Manchester Housing  & Redevelopm,2014-12-19,18084,2014-12-17,11203.0,6881.0,61.42
Mechanicville Housing Authority,2015-01-13,28530,2015-01-13,21163.0,7367.0,34.81
Medford Housing Authority,2015-01-30,16530,2015-01-29,11278.0,5252.0,46.57
Memphis Housing Authority,2015-01-16,19096,2014-10-06,12406.0,6690.0,53.93
Metropolitan Development & Housi,2015-02-02,17061,2015-01-28,12069.0,4992.0,41.36
Milford Redevelopment and Housin,2014-06-12,27615,2014-05-16,12672.0,14943.0,117.92
Millville Housing Authority,2015-01-30,33613,2015-01-29,29344.0,4269.0,14.55
Mississippi Regional Housing Aut,2014-11-21,30009,2014-06-20,23031.0,6978.0,30.3
Missoula Housing Authority,2014-05-28,20749,2014-05-27,17731.0,3018.0,17.02
Moline Housing Authority,2014-07-01,20237,2014-06-23,14619.0,5618.0,38.43
Morris County Housing Authority,2014-05-08,29623,2014-05-08,17343.0,12280.0,70.81
Morristown Housing Authority,2015-01-20,13841,2014-02-26,11146.0,2695.0,24.18
Muskegon Heights Housing Commiss,2014-07-02,32430,2013-07-12,27008.0,5422.0,20.08
NORTHWEST GA HOUSING AUTHORITY,2015-01-26,27475,2014-05-06,23147.0,4328.0,18.7
Nashua Housing Authority,2014-08-26,29313,2014-08-14,12267.0,17046.0,138.96
Needham Housing Authority,2014-06-25,17091,2014-06-24,12280.0,4811.0,39.18
Neptune Housing Authority,2013-10-23,34723,2013-10-21,15910.0,18813.0,118.25
New Bedford Housing Authority,2014-05-07,36360,2014-05-07,29209.0,7151.0,24.48
New Rochelle Housing Authority,2014-10-22,32477,2014-10-21,18084.0,14393.0,79.59
New York City Housing Authority,2015-01-26,19269,2015-01-07,15576.0,3693.0,23.71
Newport News Redevelopment & Hou,2014-11-05,23609,2014-09-19,18424.0,5185.0,28.14
Niagara Falls Housing Authority,2013-11-14,32119,2013-11-12,17094.0,15025.0,87.9
Niles Housing Commission,2014-05-12,35525,2013-07-08,19344.0,16181.0,83.65
North Bergen Housing Authority,2014-07-28,35823,2014-07-24,29077.0,6746.0,23.2
North Little Rock Housing Author,2014-09-03,35117,2014-04-25,16974.0,18143.0,106.89
Northeast Georgia Housing Author,2014-05-21,34761,2013-06-26,26492.0,8269.0,31.21
Northeast Oregon Housing Authori,2013-07-16,37197,2013-07-15,26934.0,10263.0,38.1
Northwest Florida Regional Housi,2014-04-25,28799,2014-04-23,25566.0,3233.0,12.65
Norwich Housing Authority,2014-11-21,38094,2014-06-10,37380.0,714.0,1.91
Ogdensburg Housing Authority,2015-01-14,38387,2013-07-02,30272.0,8115.0,26.81
Olean Housing Authority,2014-10-22,22891,2013-08-14,18699.0,4192.0,22.42
Omaha Housing Authority,2014-08-12,23782,2014-05-06,15900.0,7882.0,49.57
Orlando Housing Authority,2014-06-24,31322,2014-06-23,19734.0,11588.0,58.72
Ottumwa Housing Authority,2014-04-23,20484,2014-04-22,11303.0,9181.0,81.23
Oxford Housing Authority,2014-05-19,27545,2014-04-28,26837.0,708.0,2.64
PAHOKEE HOUSING AUTHORITY,2013-11-20,26914,2013-11-19,14967.0,11947.0,79.82
PALM BEACH COUNTY HOUSING AUTHOR,2014-12-15,31547,2013-12-12,29408.0,2139.0,7.27
PINELLAS COUNTY HOUSING AUTHORIT,2015-01-27,37430,2015-01-26,34874.0,2556.0,7.33
PUERTO RICO PUBLIC HOUSING ADMIN,2014-12-27,16510,2014-12-17,10199.0,6311.0,61.88
PUNTA GORDA HOUSING AUTHORITY,2014-01-24,17096,2014-01-23,10189.0,6907.0,67.79
Palatka Housing Authority,2014-06-24,37170,2014-06-23,25679.0,11491.0,44.75
Paris Housing Authority,2014-11-06,28580,2013-08-26,27100.0,1480.0,5.46
Pasco County Housing Authority,2014-02-24,15337,2014-01-27,11404.0,3933.0,34.49
Paterson Housing Authority,2014-10-16,28319,2014-09-03,27681.0,638.0,2.3
Pennington County Housing and Re,2014-06-10,36837,2014-06-04,31998.0,4839.0,15.12
Peoria Housing Authority,2014-05-12,30271,2014-05-06,29124.0,1147.0,3.94
Perry County Housing Authority,2014-09-22,20631,2014-09-18,15772.0,4859.0,30.81
Perth Amboy Housing Authority,2014-05-27,28268,2014-04-21,24539.0,3729.0,15.2
Petersburg Redevelopment & Housi,2014-05-29,16446,2014-05-28,12938.0,3508.0,27.11
Pharr Housing Authority,2015-01-15,21152,2015-01-14,19003.0,2149.0,11.31
Philadelphia Housing Authority,2015-01-21,37902,2015-01-20,15534.0,22368.0,143.99
Phillipsburg Housing Authority,2015-01-27,31066,2014-09-15,23212.0,7854.0,33.84
Plainfield Housing Authority,2014-05-20,19334,2013-05-23,11239.0,8095.0,72.03
Plattsburgh Housing Authority,2014-10-01,20713,2013-08-30,12550.0,8163.0,65.04
Pleasantville Housing Authority,2014-07-17,36940,2014-07-11,24633.0,12307.0,49.96
Port Chester Housing Authority,2014-10-30,24932,2014-10-29,20906.0,4026.0,19.26
Port Huron Housing Commission,2014-10-02,14899,2013-08-16,11948.0,2951.0,24.7
Portland Housing Authority,2014-09-03,20639,2013-06-07,12409.0,8230.0,66.32
Princeton Housing Authority,2014-09-05,36743,2013-10-29,23688.0,13055.0,55.11
Public Housing Agency of the Cit,2014-06-17,26772,2014-06-12,23775.0,2997.0,12.61
Quincy Housing Authority,2015-01-09,26069,2014-08-27,18273.0,7796.0,42.66
Rahway Housing Authority,2014-07-25,31223,2014-07-14,21568.0,9655.0,44.77
Regional Hsg Authority of Sutter,2013-07-10,27318,2013-07-08,18645.0,8673.0,46.52
Richmond Redevelopment & Housing,2014-04-28,29706,2014-04-24,21431.0,8275.0,38.61
River Rouge Housing Commission,2014-07-14,36630,2013-08-05,20094.0,16536.0,82.29
Roanoke-Chowan Regional Housing,2014-09-11,28928,2014-09-11,25217.0,3711.0,14.72
Robstown Housing Authority,2014-05-30,32790,2013-07-23,20826.0,11964.0,57.45
Rochester Housing Authority,2015-01-14,20780,2015-01-06,11603.0,9177.0,79.09
Rockford Housing Authority,2015-01-21,16606,2015-01-14,10334.0,6272.0,60.69
Rutland Housing Authority,2014-06-27,31081,2013-09-09,19633.0,11448.0,58.31
SC REGIONAL HOUSING AUTHORITY NO,2014-11-12,24985,2014-11-04,12409.0,12576.0,101.35
STARK METROPOLITAN HOUSING AUTHO,2014-07-09,17420,2014-07-02,15518.0,1902.0,12.26
Saginaw Housing Commission,2015-01-15,17399,2013-08-21,11810.0,5589.0,47.32
San Antonio Housing Authority,2015-01-20,11782,2014-11-04,10772.0,1010.0,9.38
San Diego Housing Commission,2014-08-13,27052,2013-08-07,18803.0,8249.0,43.87
Sanford Housing Authority,2015-01-22,25919,2015-01-20,16232.0,9687.0,59.68
